Category,Correct_Text_Accuracy,OCR_Text_Accuracy
Main_person,73.71%,74.46%
Education,70.69%,61.19%
Careers,68.80%,66.27%
Particularities,63.09%,43.44%
Spouses,66.67%,63.13%
Parents,75.64%,67.72%
Grand_parents,69.47%,55.29%
In_laws,66.44%,65.91%
Children,71.45%,67.24%
Far_family,58.02%,60.81%
Average,68.40%,62.55%
