Category,Correct_Text_Accuracy,OCR_Text_Accuracy
Main_person,75.48%,68.90%
Education,63.57%,57.10%
Careers,72.04%,63.13%
Particularities,58.93%,52.89%
Spouses,65.96%,60.75%
Parents,70.48%,64.69%
Grand_parents,64.45%,56.72%
In_laws,50.71%,37.27%
Children,71.78%,68.72%
Far_family,52.11%,53.54%
Average,64.55%,58.37%
